word,grade,set (week),definition,sentence
half,4,11,one of two equal parts,She ate half of the sandwich.
minus,4,11,the sign or operation used for subtraction,Five minus two equals three.
plus,4,11,the sign or operation used for addition,Three plus four equals seven.
totally,4,11,completely,The road was totally covered with snow.
really,4,11,truly or actually,The puzzle was really challenging.
finally,4,11,at last; after some time,We finally reached the top of the hill.
locally,4,11,in or near a particular area,The vegetables were grown locally.
fresher,4,11,more fresh or recently made,The bread from the bakery tasted fresher.
usher,4,11,a person who shows people to their seats,The usher showed us where to sit.
gusher,4,11,something that sends out a strong flow of liquid,The broken pipe became a gusher.
crusher,4,11,a machine that presses or breaks things into smaller pieces,The crusher broke the rocks into smaller pieces.
flasher,4,11,a light or device that flashes on and off,The bicycle has a red flasher for safety.
balance,4,11,"an even or steady position, or the amount left in an account",She kept her balance on the beam.
arithmetic,4,11,basic math using numbers and operations such as addition and subtraction,We practiced arithmetic in math class.
parentheses,4,11,curved marks ( ) used to set extra information apart,The sentence has a note inside parentheses.
bracket,4,11,one of a pair of marks used to group or set information apart,The numbers inside the bracket belong together.
percent,4,11,a number out of one hundred,Fifty percent is the same as one half.
slide,4,12,a sloped playground structure that people move down,The children took turns on the slide.
swings,4,12,seats hanging from chains or ropes that move back and forth,The swings moved back and forth.
goal,4,12,something a person tries to achieve,My goal is to finish the book this week.
coach,4,12,a person who teaches and guides a team or performer,Our coach showed us a new drill.
became,4,12,past tense of become; began to be,The sky became darker before the storm.
shown,4,12,past participle of show; displayed or made visible,The map was shown on the screen.
blown,4,12,moved or affected by wind or air,Leaves had blown across the yard.
pasture,4,12,grass-covered land where farm animals feed,The cows grazed in the pasture.
adventure,4,12,an exciting or unusual experience,Our camping trip was an adventure.
literature,4,12,"written works such as stories, poems, and plays",We read children’s literature from several countries.
lecture,4,12,a talk given to teach people about a subject,The scientist gave a short lecture about space.
mixture,4,12,two or more substances combined without becoming a new substance,Trail mix is a mixture of several foods.
moisture,4,12,a small amount of water or other liquid,The soil held enough moisture for the seeds.
puncture,4,12,a small hole made by something sharp,A nail caused a puncture in the bicycle tire.
sculpture,4,12,a work of art made by shaping or combining materials,The stone sculpture stood in the garden.
brass,4,12,a family of musical instruments played by blowing through a mouthpiece,The trumpet is a brass instrument.
violin,4,12,a small string instrument played with a bow,She played the violin in the orchestra.
instruments,4,12,tools used to make music or perform a task,The band tuned its instruments.
percussion,4,12,"musical instruments played by striking, shaking, or scraping them",Drums are percussion instruments.
conductor,4,12,"a person who leads an orchestra, band, or choir",The conductor raised the baton.
fifteen,4,13,the number after fourteen,Three groups of five equal fifteen.
polite,4,13,showing good manners and respect,It is polite to say thank you.
peanut,4,13,an edible seed that grows in a pod underground,He spread peanut butter on toast.
soccer,4,13,a team sport in which players mainly use their feet to move a ball into a goal,We played soccer after school.
backpack,4,13,a bag carried on the back with shoulder straps,I packed my books in my backpack.
decide,4,13,to make a choice,We must decide which route to take.
contain,4,13,to have or hold something inside,The box can contain twenty pencils.
course,4,13,"a path, direction, or series of lessons",The river changed course after the flood.
surface,4,13,the outside or top layer of something,The table has a smooth surface.
produce,4,13,"to make, grow, or create something",Plants produce food using sunlight.
stretcher,4,13,a frame used to carry a sick or injured person,The paramedics moved the patient on a stretcher.
preacher,4,13,a person who gives religious sermons,The preacher spoke to the congregation.
pressure,4,13,force pushing on something,Air pressure changes with altitude.
closure,4,13,the act of closing something or bringing it to an end,The storm caused the closure of the road.
treasure,4,13,something valuable or greatly loved,The children followed the map to the hidden treasure.
dwelling,4,13,a place where someone lives,The cabin was a simple dwelling.
lodge,4,13,a small house or building used for temporary stays,We stayed in a mountain lodge.
igloo,4,13,a dome-shaped shelter traditionally built from blocks of snow,The model igloo was made from white blocks.
pueblo,4,13,a village or community of some Native peoples of the Southwest,The pueblo was built from adobe.
wigwam,4,13,a dome-shaped dwelling traditionally used by some Indigenous peoples of North America,The museum exhibit included a model of a wigwam.
building,4,14,a structure with walls and a roof,The library is a large brick building.
spelling,4,14,the way the letters of a word are arranged,Check the spelling of each word.
erratic,4,14,not steady or predictable,The ball took an erratic bounce.
fifty,4,14,the number after forty-nine,Half of one hundred is fifty.
receive,4,14,to get or be given something,We will receive our report cards Friday.
revise,4,14,to change or improve writing or a plan,I revise my paragraph after reading it again.
deceive,4,14,to make someone believe something that is not true,The trickster tried to deceive the travelers.
scientist,4,14,a person who studies the natural or physical world using evidence and experiments,The scientist recorded the results carefully.
inside,4,14,the inner part of something,The gift was inside the box.
rupture,4,14,"a break, tear, or burst",The pipe had a rupture and began leaking.
leisure,4,14,free time when you are not working or doing required tasks,She reads during her leisure time.
seizure,4,14,a sudden burst of unusual electrical activity in the brain that can affect movement or awareness,The first-aid lesson explained what to do if someone has a seizure.
pleasure,4,14,a feeling of happiness or enjoyment,Reading for pleasure can be relaxing.
vulture,4,14,a large bird that often feeds on animals that are already dead,The vulture circled high in the sky.
glacier,4,14,"a large, slow-moving mass of ice on land",The glacier moved slowly down the valley.
debris,4,14,scattered pieces left after something breaks or is destroyed,Workers cleared the debris from the road.
moraine,4,14,a ridge or pile of rocks and soil left behind by a glacier,The glacier left a moraine along the valley.
cirque,4,14,a bowl-shaped hollow in a mountain made by a glacier,A glacier once carved the mountain cirque.
iceberg,4,14,a large piece of ice floating in the ocean,The iceberg floated in cold water.
advance,4,14,to move forward or make progress,The team will advance to the next round.
sixteen,4,15,the number after fifteen,Four times four equals sixteen.
chicken,4,15,a farm bird raised for eggs or meat,The chicken scratched the ground for food.
elephant,4,15,a very large land animal with a long trunk,The elephant used its trunk to pick up food.
island,4,15,land completely surrounded by water,The small island was covered with trees.
gorilla,4,15,"a large, strong ape that lives in Africa",The gorilla rested in the shade.
dolphin,4,15,a smart sea mammal with a streamlined body,A dolphin leaped out of the water.
machine,4,15,a device with parts that work together to do a task,The washing machine cleans clothes.
ticket,4,15,a document or digital record that allows entry or travel,We showed our tickets before boarding the train.
diet,4,15,the food and drink a person or animal usually consumes,A balanced diet includes many kinds of foods.
puppet,4,15,"a figure moved by strings, rods, hands, or other controls",The puppet waved to the audience.
banquet,4,15,a large formal meal for many people,The team attended a banquet after the season.
blanket,4,15,a warm covering used on a bed or around a person,She wrapped herself in a blanket.
gadget,4,15,a small useful device or tool,The kitchen gadget slices apples.
musket,4,15,an old type of long gun used before modern rifles,The museum displayed a musket from the 1800s.
poet,4,15,a person who writes poems,The poet read her work aloud.
range,4,15,"the area between a lowest and highest value, or an area where something is found",The temperature range was 60 to 75 degrees.
strike,4,15,"to hit something, or to stop work as a protest",The bat can strike the ball.
cattle,4,15,cows and bulls kept on farms,The cattle grazed in the field.
herd,4,15,a group of animals of the same kind living or moving together,A herd of cows crossed the field.
stampede,4,15,a sudden rush of many frightened animals or people,The loud noise nearly caused a stampede of cattle.
sixty,4,16,the number after fifty-nine,There are sixty minutes in an hour.
system,4,16,a group of connected parts that work together,The solar system includes the sun and planets.
crocodile,4,16,a large reptile with a long snout and powerful jaws,The crocodile rested near the river.
monkey,4,16,a primate that often has a long tail and can climb well,The monkey climbed the tree.
alligator,4,16,a large reptile with a broad snout that lives near water,The alligator swam through the marsh.
wolves,4,16,more than one wolf,The wolves moved together through the forest.
kangaroo,4,16,an Australian animal that hops on strong back legs and carries young in a pouch,The kangaroo hopped across the grass.
force,4,16,a push or pull that can change motion,A strong force moved the box.
brought,4,16,past tense of bring; carried or caused something to come,She brought her lunch to school.
understand,4,16,to know the meaning or reason for something,I understand the directions now.
rabbit,4,16,a small animal with long ears and strong back legs,The rabbit nibbled on grass.
credit,4,16,"recognition for work, or money available to borrow",Give the author credit when you use her idea.
hermit,4,16,a person who lives alone and away from others,The story was about a hermit living in the mountains.
transmit,4,16,to send something from one place or person to another,Radio towers transmit signals.
habit,4,16,"something a person does regularly, often without much thought",Reading before bed is a good habit.
bandit,4,16,a robber or outlaw,The bandit in the story stole the treasure.
calendar,4,16,"a chart or system showing days, weeks, and months",Mark the field trip on the calendar.
mathematics,4,16,"the study of numbers, shapes, patterns, and quantities",Mathematics helps us solve measurement problems.
axis,4,16,a reference line used on a graph or around which something turns,We labeled the horizontal axis on the graph.
astronomy,4,16,"the scientific study of stars, planets, and other objects in space","In astronomy, we learned about distant galaxies."
seventeen,4,17,the number after sixteen,Ten plus seven equals seventeen.
browser,4,17,a computer program used to view websites,I opened the website in a browser.
memory,4,17,computer storage used to hold information for current or future use,The computer needs enough memory to run the program.
explain,4,17,to make an idea easier to understand by giving information,Please explain how you solved the problem.
adage,4,17,a short traditional saying that expresses a common truth,“Better late than never” is an adage.
courage,4,17,the ability to face fear or difficulty,It took courage to speak in front of the class.
language,4,17,a system of words and rules people use to communicate,Spanish is a language spoken in many countries.
luggage,4,17,bags and cases used to carry belongings while traveling,We loaded our luggage into the car.
storage,4,17,a place or method for keeping things until they are needed,The closet provides extra storage.
thousand,4,17,the number equal to ten hundreds,One thousand has three zeros.
bandage,4,17,a strip of material used to cover or support an injury,She put a bandage on the small cut.
cabbage,4,17,a leafy vegetable with a tightly packed round head,We chopped cabbage for the salad.
carriage,4,17,"a wheeled vehicle, often pulled by horses",The horse pulled the carriage through the park.
damage,4,17,harm that makes something less useful or valuable,The storm caused damage to the roof.
garbage,4,17,waste or unwanted material that is thrown away,Put the garbage in the bin.
landscape,4,17,the visible features of an area of land,The desert landscape was dry and rocky.
carve,4,17,to cut a shape or design into a material,She used a tool to carve a design in the clay.
canyon,4,17,"a deep valley with steep sides, often formed by a river",The river flows through the canyon.
erosion,4,17,"the wearing away and movement of rock or soil by water, wind, ice, or gravity",Rain can cause soil erosion.
sediment,4,17,"small pieces of rock, soil, or other material carried and deposited by water, wind, or ice",Sediment collected at the bottom of the river.
seventy,4,18,the number after sixty-nine,Seven tens equal seventy.
rhombus,4,18,a four-sided shape with all four sides the same length,We drew a rhombus in math class.
equation,4,18,a math statement showing that two amounts are equal,We solved the equation on the board.
average,4,18,a number that represents the usual or middle value of a group of numbers,We found the average of the test scores.
caution,4,18,care used to avoid danger or mistakes,Use caution when crossing a busy street.
filled,4,18,made full or put something into all available space,She filled the bottle with water.
pledge,4,18,a serious promise,Students made a pledge to care for the garden.
bridge,4,18,"a structure built to cross over water, roads, or other obstacles",The bridge crosses the river.
ridge,4,18,"a long, narrow raised area of land",We hiked along the mountain ridge.
wedge,4,18,a piece that is thick at one end and thin at the other,He used a wedge to hold the door open.
ledge,4,18,a narrow shelf-like edge on a wall or cliff,A bird rested on the window ledge.
cartridge,4,18,"a container that holds material for a device, such as ink for a printer",The printer needs a new ink cartridge.
partridge,4,18,a medium-sized ground bird,A partridge moved through the tall grass.
porridge,4,18,a soft hot food made by cooking grain in water or milk,We ate warm porridge for breakfast.
globe,4,18,a round model of Earth or another planet,We found Japan on the globe.
public,4,18,open or available to everyone,The city park is a public space.
private,4,18,for one person or group rather than everyone,The diary is private.
academic,4,18,"relating to school, studying, or education",She set an academic goal for the semester.
listening,4,18,paying attention to sounds or spoken words,Good listening helps us follow directions.
skill,4,18,an ability learned through practice,Typing is a useful skill.
dragon,4,19,"a large imaginary creature in stories, often shown with wings or fire",The dragon guarded the castle in the story.
castle,4,19,"a large fortified building, often home to rulers in the past",The old castle had thick stone walls.
knight,4,19,a mounted warrior of the Middle Ages who served a ruler,The knight carried a shield.
queen,4,19,a female ruler or the wife of a king,The queen addressed the crowd.
prince,4,19,"a male member of a royal family, often the son of a king or queen",The prince rode through the village.
kingdom,4,19,a country or area ruled by a king or queen,The kingdom stretched from the mountains to the sea.
alone,4,19,without other people or things nearby,She finished the puzzle alone.
ghost,4,19,the spirit of a dead person as imagined in stories or beliefs,The ghost in the story appeared at midnight.
robot,4,19,a machine that can perform tasks automatically,The robot sorted the blocks by color.
program,4,19,a set of instructions for a computer or a planned set of activities,She wrote a simple computer program.
compose,4,19,"to create or put together, especially music or writing",He will compose a short song.
coastal,4,19,relating to land near the sea,Coastal towns can be affected by storms.
boast,4,19,to talk with too much pride about something,He did not boast about winning the race.
toaster,4,19,an appliance used to brown slices of bread,The toaster popped up two slices.
owner,4,19,a person who possesses something,The dog’s owner called its name.
golden,4,19,made of gold or having a bright yellow color,The leaves turned golden in autumn.
boomtown,4,19,a town that grows very quickly because of new jobs or business,The mining camp became a boomtown.
miner,4,19,"a person who works to remove minerals, coal, or other materials from the ground",The miner worked underground.
claim,4,19,to say something is true or to ask for something believed to belong to you,She made a claim and supported it with evidence.
nugget,4,19,"a small solid lump, especially of a valuable mineral",The museum displayed a gold nugget.
solo,4,20,music performed by one person,She played a piano solo.
duet,4,20,music performed by two people,They sang a duet together.
cello,4,20,a large string instrument played while seated,He played the cello in the orchestra.
special,4,20,different from ordinary in an important or valued way,Today is special because it is our class celebration.
heavy,4,20,having a lot of weight,The box was too heavy to lift alone.
trio,4,20,a group of three performers or a piece for three performers,The trio played three instruments.
choir,4,20,a group of people who sing together,The choir sang at the concert.
remote,4,20,"far away, or a device used to control something from a distance",The hikers visited a remote valley.
include,4,20,to contain or have as part of a group,The price will include lunch.
homework,4,20,schoolwork assigned to be done outside class,I finished my homework before dinner.
lower,4,20,to move something downward or make it less,Lower the flag slowly.
flamingo,4,20,a tall pink wading bird with long legs and a curved bill,The flamingo stood on one leg.
stroller,4,20,a wheeled chair used to push a baby or young child,The baby slept in the stroller.
decode,4,20,to figure out the meaning of a code or unfamiliar message,We used the key to decode the secret message.
envelope,4,20,a paper container used to hold a letter,She placed the card in an envelope.
engineer,4,20,"a person who designs, builds, or improves machines, structures, or systems",The engineer tested the bridge design.
technology,4,20,"tools, machines, and methods created using scientific knowledge",Digital technology helps us communicate quickly.
electricity,4,20,a form of energy caused by electric charge,Electricity powers the lamp.
energy,4,20,the ability to do work or cause change,Food gives our bodies energy.
generate,4,20,to produce or create something,Solar panels generate electricity.
positive,4,21,"greater than zero, or hopeful and favorable",Five is a positive number.
negative,4,21,"less than zero, or unfavorable",Negative three is less than zero.
college,4,21,a school for education after high school,Her older brother attends college.
university,4,21,a school that offers advanced education and degrees,The university has a large science library.
perhaps,4,21,maybe; possibly,Perhaps the rain will stop soon.
hammer,4,21,a tool with a heavy head used for hitting nails or other objects,Use the hammer carefully to drive the nail.
nail,4,21,a thin pointed metal fastener hammered into material,He tapped the nail into the wood.
drill,4,21,a tool used to make holes,The carpenter used a drill to make a hole.
chain,4,21,a series of connected metal links,The bicycle chain turned the back wheel.
wrench,4,21,"a tool used to grip and turn nuts, bolts, or pipes",She used a wrench to tighten the bolt.
robin,4,21,a bird with a reddish or orange breast,A robin searched the grass for worms.
bother,4,21,"to annoy, worry, or disturb",Please do not bother the dog while it sleeps.
copper,4,21,a reddish-brown metal that conducts electricity well,Copper wire carries electricity.
comment,4,21,a spoken or written remark,He added a helpful comment to the discussion.
monster,4,21,an imaginary frightening creature,The book’s monster turned out to be friendly.
parallel,4,21,always the same distance apart and never meeting,The two railroad tracks are parallel.
series,4,21,a group of related things that come one after another,She read every book in the series.
charge,4,21,"an amount of electricity, a cost, or the act of rushing forward",The battery stores an electric charge.
tenths,4,21,parts made when a whole is divided into ten equal pieces,Three tenths can be written as 0.3.
hundredths,4,21,parts made when a whole is divided into one hundred equal pieces,Twenty-five hundredths equals 0.25.
hotel,4,22,a building where travelers pay to stay overnight,We stayed at a hotel near the airport.
guest,4,22,a person invited to visit or stay somewhere,Our guest arrived before dinner.
ready,4,22,prepared to do something,We are ready to begin.
anything,4,22,any thing at all,You may ask me anything about the lesson.
elevator,4,22,a platform or car that moves people or goods between floors,We took the elevator to the fifth floor.
generalize,4,22,to make a broad statement based on examples or evidence,Do not generalize from only one example.
package,4,22,a wrapped or boxed item prepared for delivery,A package arrived in the mail.
subject,4,22,a topic being discussed or studied,Science is my favorite subject.
Europe,4,22,a continent west of Asia,Europe contains many countries.
umbrella,4,22,a folding cover used to protect a person from rain or sun,She opened her umbrella in the rain.
bubble,4,22,a thin ball of liquid filled with air or gas,A soap bubble floated across the room.
husband,4,22,a married man in relation to his spouse,Her husband cooked dinner.
bucket,4,22,an open container with a handle,We filled the bucket with sand.
publish,4,22,"to prepare and make writing, music, or other work available to the public",The class will publish a book of poems.
snuggle,4,22,to curl up closely and comfortably,The puppy likes to snuggle beside the blanket.
inflation,4,22,a general rise in prices over time,Inflation can make the same groceries cost more.
ration,4,22,a fixed amount allowed for each person or use,Each hiker received a ration of water.
stock,4,22,"a share of ownership in a company, or a supply of goods",A share of stock represents part ownership of a company.
depression,4,22,"a long period of serious economic decline, or a medical condition affecting mood",The Great Depression caused widespread unemployment in the 1930s.
unemployment,4,22,the condition of people being without jobs while seeking work,Unemployment rose when many businesses closed.
region,4,23,a large area with shared features,The desert region receives little rain.
return,4,23,to go or come back,We will return the library books tomorrow.
believe,4,23,to accept something as true,I believe her explanation.
joined,4,23,became part of or connected with something,She joined the school club.
member,4,23,a person or thing that belongs to a group,Every team member has a role.
contest,4,23,a competition,He entered the drawing contest.
reject,4,23,"to refuse to accept, use, or believe something",The committee may reject an incomplete application.
Asia,4,23,the largest continent on Earth,Asia is the largest continent.
unite,4,23,to join together,The teams unite for a community project.
computer,4,23,an electronic device that stores and processes information,We used a computer to write the report.
abuse,4,23,"harmful or improper treatment of a person, animal, or thing",Adults should report suspected abuse to keep children safe.
mute,4,23,"not producing sound, or to turn sound off",Please mute the microphone when you are not speaking.
youth,4,23,"the time of being young, or young people as a group",He spent his youth near the coast.
bugle,4,23,a simple brass wind instrument used for signals,The bugle sounded at sunrise.
commute,4,23,to travel regularly between home and work or school,Many people commute by train.
actor,4,23,"a person who performs a role in a play, movie, or show",The actor memorized his lines.
magnetic,4,23,able to attract certain metals or relating to magnets,The magnetic strip pulled the paper clip.
attraction,4,23,a force or feeling that draws things together,Magnetic attraction pulled the two objects closer.
permanent,4,23,intended to last for a very long time,The marker left a permanent line.
temporary,4,23,lasting only for a limited time,The road closure is temporary.
eighty,4,24,the number after seventy-nine,Eight tens equal eighty.
sheriff,4,24,an elected law-enforcement official in many counties,The sheriff spoke at the safety fair.
rodeo,4,24,"an event featuring skills used in ranch work, such as riding and roping",The rodeo included several riding events.
exercise,4,24,physical activity done for health or practice,Walking is good exercise.
wagon,4,24,a four-wheeled vehicle used to carry people or goods,The children pulled the wagon.
train,4,24,a connected set of railway cars moved along tracks,The train arrived at the station.
Australia,4,24,a country and continent in the Southern Hemisphere,Australia is both a country and a continent.
saddle,4,24,a seat placed on an animal’s back for riding,She checked the saddle before riding the horse.
calf,4,24,a young cow or the back part of the lower leg,The calf stayed close to its mother.
develop,4,24,"to grow, change, or create something over time",The seedlings develop roots first.
alarm,4,24,a warning signal or device,The smoke alarm made a loud sound.
carbon,4,24,a chemical element found in all known living things,Carbon is part of many compounds.
charcoal,4,24,a black material made by heating wood with little air,The artist drew with charcoal.
marble,4,24,a hard stone often used in buildings and sculpture,The statue was carved from marble.
scarlet,4,24,a bright red color,The bird had scarlet feathers.
artistic,4,24,relating to art or showing creative skill,She used artistic lettering on the poster.
medium,4,24,"a material or method used by an artist, or something of middle size",Watercolor is one artistic medium.
pastel,4,24,a soft colored drawing stick or a pale color,She used pastels to shade the sky.
canvas,4,24,strong cloth used as a painting surface or for other sturdy items,The artist painted on canvas.
acrylic,4,24,a type of plastic or fast-drying paint,Acrylic paint dries quickly.
window,4,25,an opening in a wall or vehicle fitted with glass to let in light or allow a view,Sunlight came through the window.
emerald,4,25,a bright green gemstone,The necklace held a small emerald.
eighteen,4,25,the number after seventeen,Two groups of nine equal eighteen.
heart,4,25,the organ that pumps blood through the body,Exercise makes the heart beat faster.
site,4,25,a place where something is located or happens,Workers prepared the building site.
harbor,4,25,a sheltered area of water where ships can anchor safely,Fishing boats returned to the harbor.
corner,4,25,"the place where two edges, sides, or streets meet",The store is on the corner.
barber,4,25,"a person who cuts and styles hair, especially short hair",The barber trimmed his hair.
garlic,4,25,a strong-smelling plant bulb used to flavor food,We added garlic to the sauce.
probably,4,25,very likely,It will probably rain this evening.
parsley,4,25,a green herb used to flavor or decorate food,She sprinkled parsley on the soup.
tardy,4,25,late,The student was tardy because the bus was delayed.
tariff,4,25,a tax placed on goods brought into or sent out of a country,The government placed a tariff on imported goods.
prairie,4,25,a large area of mostly flat grassland,Tall grass covered the prairie.
barrel,4,25,a large round container with curved sides,Rainwater collected in the barrel.
ray,4,25,a narrow beam of light or a line that starts at one point and continues forever,"In geometry, a ray has one endpoint."
dimension,4,25,"a measurement such as length, width, or height",Measure each dimension of the box.
perpendicular,4,25,meeting at a right angle,The two lines are perpendicular.
intersecting,4,25,crossing or meeting at a point,The intersecting roads form an X.
array,4,25,"an orderly arrangement of objects, often in rows and columns",We used an array to show four groups of six.
ninety,4,26,the number after eighty-nine,Nine tens equal ninety.
forward,4,26,toward the front or ahead,Take one step forward.
purple,4,26,a color made by combining red and blue,She chose a purple folder.
chord,4,26,three or more musical notes played together,She played a chord on the piano.
porch,4,26,a covered or raised area at the entrance of a building,We sat on the front porch.
written,4,26,put into words using letters or symbols,The instructions were written clearly.
purpose,4,26,the reason something exists or is done,The purpose of the experiment is to test the idea.
reason,4,26,a cause or explanation for something,Give one reason for your answer.
kept,4,26,past tense of keep; continued to have or hold,She kept the ticket as a souvenir.
interest,4,26,"curiosity or attention, or money paid for borrowing",His interest in astronomy grew after the trip.
berry,4,26,"a small fleshy fruit, often with several seeds",A blueberry is a type of berry.
cherub,4,26,a childlike angel shown in art,The old painting included a small cherub.
merit,4,26,"value, quality, or something deserving praise",The idea has merit because it solves the problem.
perish,4,26,to die or be destroyed,Plants may perish without enough water.
mercy,4,26,kindness shown by someone who could punish or harm,The ruler showed mercy and reduced the punishment.
ballot,4,26,a paper or electronic form used to cast a vote,Each voter marked a ballot.
principle,4,26,"a basic rule, belief, or idea",Fairness is an important principle.
citizenship,4,26,the status and responsibilities of being a citizen of a country,The class learned about voting as part of citizenship.
participate,4,26,to take part in an activity,Everyone may participate in the discussion.
responsibility,4,26,a duty or something you are expected to take care of,Feeding the class pet is her responsibility.
nineteen,4,27,the number after eighteen,Ten plus nine equals nineteen.
score,4,27,the number of points earned in a game or test,The final score was twelve to ten.
cousin,4,27,a child of your aunt or uncle,My cousin visited us this weekend.
present,4,27,happening or existing now,We talked about the present time.
wonderful,4,27,very good or enjoyable,We had a wonderful time at the museum.
charm,4,27,"a pleasing quality, or a small object worn for luck or decoration",The old town has a lot of charm.
format,4,27,the arrangement or design of information,Use the same format for each report.
scarf,4,27,a piece of cloth worn around the neck or head,She wore a warm scarf.
merge,4,27,to combine or join together,The two lanes merge ahead.
squirt,4,27,"to send out a thin, quick stream of liquid",The bottle can squirt water.
sermon,4,27,"a talk about religious or moral ideas, often given during worship",The minister gave a short sermon.
barking,4,27,making the sharp sound typical of a dog,The barking dog woke us up.
battery,4,27,a device that stores chemical energy and provides electric power,The flashlight needs a new battery.
earthworm,4,27,"a long, soft-bodied worm that lives in soil",An earthworm helps mix the soil.
nervous,4,27,"worried, uneasy, or excited about what may happen",I felt nervous before the performance.
angle,4,27,the shape made where two lines or rays meet,We measured the angle with a protractor.
obtuse,4,27,describing an angle greater than 90 degrees but less than 180 degrees,The triangle has an obtuse angle.
acute,4,27,an angle smaller than 90 degrees,The triangle has one acute angle.
protractor,4,27,a tool used to measure angles,We used a protractor to measure the angle.
vertex,4,27,"the point where two lines, edges, or rays meet",The corner is a vertex of the shape.
principal,4,28,"the head of a school, or most important",The principal welcomed students to the assembly.
finish,4,28,to complete something,Finish the last problem before recess.
translation,4,28,words changed from one language into another while keeping the meaning,She read an English translation of the story.
amuse,4,28,to entertain or make someone smile or laugh,The silly puppet will amuse the audience.
allowance,4,28,an amount of money or something else given regularly or permitted,He saves part of his weekly allowance.
beside,4,28,next to,My backpack is beside my desk.
concern,4,28,a worry or something that matters to someone,Safety is our main concern.
thorn,4,28,a sharp point growing from the stem of some plants,A thorn caught on my sleeve.
sword,4,28,a weapon with a long metal blade and handle,The museum displayed a medieval sword.
million,4,28,"the number 1,000,000",One million has six zeros.
archer,4,28,a person who shoots arrows with a bow,The archer aimed at the target.
marvelous,4,28,extremely good or impressive,The dancers gave a marvelous performance.
career,4,28,the work a person does over many years,She hopes for a career in engineering.
merely,4,28,only; simply,The mark was merely a scratch.
sincere,4,28,honest and genuine,He gave a sincere apology.
carnivore,4,28,an animal that mainly eats other animals,A lion is a carnivore.
herbivore,4,28,an animal that mainly eats plants,A deer is a herbivore.
omnivore,4,28,an animal that eats both plants and animals,A bear is an omnivore.
echolocation,4,28,finding objects by listening to echoes from sounds,Bats can use echolocation to find their way.
ultrasound,4,28,"sound with a frequency too high for humans to hear, also used in medical imaging",Bats use sounds in the ultrasound range.
kitchen,4,29,a room where food is prepared and cooked,We baked bread in the kitchen.
dining,4,29,"eating a meal, especially in a place set aside for meals",The family was dining together.
pantry,4,29,a small room or cupboard used to store food,Cans of soup were stored in the pantry.
staircase,4,29,a set of stairs and the structure around them,We climbed the staircase to the second floor.
scorpion,4,29,an animal related to spiders with pincers and a curved tail with a stinger,The desert scorpion hid under a rock.
ornament,4,29,an object used as decoration,We hung an ornament on the tree.
shoreline,4,29,the edge where land meets a body of water,Waves washed along the shoreline.
storm,4,29,"a period of severe weather with strong wind, rain, snow, or thunder",The storm brought heavy rain.
afford,4,29,"to have enough money, time, or resources for something",We can afford the tickets if we save.
margin,4,29,"the blank edge around a page, or the amount by which something differs",Write your notes in the margin.
burden,4,29,a heavy load or difficult responsibility,Sharing the work made the burden lighter.
purchase,4,29,to buy something,We plan to purchase new notebooks.
plural,4,29,a word form that means more than one,“Cats” is the plural of “cat.”
surgeon,4,29,a doctor trained to perform operations,The surgeon explained the procedure.
endure,4,29,to continue through something difficult or painful,The hikers had to endure strong winds.
merchant,4,29,a person or business that buys and sells goods,The merchant sold cloth and spices.
ounce,4,29,a unit of weight equal to one-sixteenth of a pound,The package weighs one ounce.
gram,4,29,a metric unit used to measure mass,A paper clip has a mass of about one gram.
milligram,4,29,one-thousandth of a gram,Medicine labels may list amounts in milligrams.
kilogram,4,29,"a metric unit equal to 1,000 grams",The bag has a mass of five kilograms.
marriage,4,30,the legal or social union of spouses,Their marriage began with a small family ceremony.
reply,4,30,to answer someone,Please reply to the question in a full sentence.
achieve,4,30,to successfully reach a goal,Practice can help you achieve your goal.
clothes,4,30,items worn on the body,Fold the clean clothes.
tomorrow,4,30,the day after today,We will visit the library tomorrow.
scan,4,30,to look over quickly or use a device to make a digital copy,Scan the page for the key word.
delete,4,30,to remove written or stored information,Delete the extra sentence from the document.
address,4,30,"the location where a person or place can be found, or to speak about an issue",Write your return address on the envelope.
describe,4,30,to tell what someone or something is like,Describe the animal using three details.
stern,4,30,serious and strict,The coach gave a stern warning.
mature,4,30,fully grown or developed,The mature tree produces fruit.
obscure,4,30,not well known or difficult to see or understand,The clouds began to obscure the moon.
surely,4,30,certainly or without doubt,Surely there is another way to solve it.
assure,4,30,to tell someone confidently that something is true,I assure you that the door is locked.
control,4,30,"to direct, manage, or keep something within limits",Use the knob to control the volume.
dirty,4,30,covered with dirt or not clean,The muddy shoes were dirty.
curb,4,30,"the raised edge between a street and sidewalk, or to limit something",Wait by the curb before crossing.
vocal,4,30,relating to the voice,The singer warmed up her vocal muscles.
expression,4,30,"the act of showing an idea or feeling, or a mathematical group of symbols",Her facial expression showed surprise.
inflection,4,30,a change in the sound of the voice or the form of a word,Her rising inflection made the sentence sound like a question.
actress,4,31,"a woman who acts in plays, movies, or shows",The actress rehearsed her lines.
theater,4,31,a building or place where plays or movies are shown,We watched the play at the theater.
solve,4,31,to find the answer to a problem,Use division to solve the problem.
comedy,4,31,"a play, movie, or story meant to be funny",The class watched a short comedy.
tragedy,4,31,a very sad event or a serious story with an unhappy ending,The play is a tragedy with a sad ending.
drama,4,31,"a story written or performed for an audience, often involving serious events",We read a drama in English class.
